artist_name,artist_popularity,artist_followers
hiko,56.0,139354.0
hilary duff,55.0,2354296.0
hildur guðnadóttir,46.0,153065.0
hinder,61.0,2078962.0
hippie sabotage,65.0,1071057.0
hiroaki tsutsumi,49.0,28688.0
hixtape,56.0,115659.0
hole,61.0,1441132.0
hollywood undead,65.0,2499251.0
homeboy delmar,13.0,22.0
honey gentry,34.0,35406.0
honors,36.0,41817.0
hoobastank,66.0,2742164.0
hoodie forester,24.0,531.0
hot chelle rae,51.0,558316.0
hotel ugly,71.0,1073601.0
houston,42.0,35335.0
howard shore,66.0,499153.0
hozier,82.0,9114093.0
hrvy,54.0,1683603.0
hucci,41.0,78161.0
hudson westbrook,71.0,344824.0
huevos rancheros,4.0,1816.0
huey lewis & the news,62.0,1745641.0
